id;symbol;name;path
2key;2key;2key.network;./data/coins/2key/
2x2;2x2;2X2;./data/coins/2x2/
300fit;fit;300FIT;./data/coins/300fit/
360-tribe;tribe;360 Tribe;./data/coins/360-tribe/
3x-long-algorand-token;algobull;3X Long Algorand Token;./data/coins/3x-long-algorand-token/
3x-long-altcoin-index-token;altbull;3X Long Altcoin Index Token;./data/coins/3x-long-altcoin-index-token/
3x-long-balancer-token;balbull;3X Long Balancer Token;./data/coins/3x-long-balancer-token/
3x-long-bilira-token;trybbull;3X Long BiLira Token;./data/coins/3x-long-bilira-token/
3x-long-bitcoin-cash-token;bchbull;3X Long Bitcoin Cash Token;./data/coins/3x-long-bitcoin-cash-token/
3x-long-bitcoin-sv-token;bsvbull;3X Long Bitcoin SV Token;./data/coins/3x-long-bitcoin-sv-token/
3x-long-bitcoin-token;bull;3X Long Bitcoin Token;./data/coins/3x-long-bitcoin-token/
3x-long-bitmax-token-token;btmxbull;3X Long BitMax Token Token;./data/coins/3x-long-bitmax-token-token/
3x-long-bnb-token;bnbbull;3X Long BNB Token;./data/coins/3x-long-bnb-token/
3x-long-cardano-token;adabull;3X Long Cardano Token;./data/coins/3x-long-cardano-token/
3x-long-chainlink-token;linkbull;3X Long Chainlink Token;./data/coins/3x-long-chainlink-token/
3x-long-compound-token-token;compbull;3X Long Compound Token Token;./data/coins/3x-long-compound-token-token/
3x-long-compound-usdt-token;cusdtbull;3X Long Compound USDT Token;./data/coins/3x-long-compound-usdt-token/
3x-long-cosmos-token;atombull;3X Long Cosmos Token;./data/coins/3x-long-cosmos-token/
3x-long-defi-index-token;defibull;3X Long DeFi Index Token;./data/coins/3x-long-defi-index-token/
3x-long-dmm-governance-token;dmgbull;3X Long DMM Governance Token;./data/coins/3x-long-dmm-governance-token/
3x-long-dogecoin-token;dogebull;3X Long Dogecoin Token;./data/coins/3x-long-dogecoin-token/
3x-long-dragon-index-token;drgnbull;3X Long Dragon Index Token;./data/coins/3x-long-dragon-index-token/
3x-long-eos-token;eosbull;3X Long EOS Token;./data/coins/3x-long-eos-token/
3x-long-ethereum-classic-token;etcbull;3X Long Ethereum Classic Token;./data/coins/3x-long-ethereum-classic-token/
3x-long-ethereum-token;ethbull;3X Long Ethereum Token;./data/coins/3x-long-ethereum-token/
3x-long-exchange-token-index-token;exchbull;3X Long Exchange Token Index Token;./data/coins/3x-long-exchange-token-index-token/
3x-long-huobi-token-token;htbull;3X Long Huobi Token Token;./data/coins/3x-long-huobi-token-token/
3x-long-kyber-network-token;kncbull;3X Long Kyber Network Token;./data/coins/3x-long-kyber-network-token/
3x-long-leo-token;leobull;3X Long LEO Token;./data/coins/3x-long-leo-token/
3x-long-litecoin-token;ltcbull;3X Long Litecoin Token;./data/coins/3x-long-litecoin-token/
3x-long-maker-token;mkrbull;3X Long Maker Token;./data/coins/3x-long-maker-token/
3x-long-matic-token;maticbull;3X Long Matic Token;./data/coins/3x-long-matic-token/
3x-long-midcap-index-token;midbull;3X Long Midcap Index Token;./data/coins/3x-long-midcap-index-token/
3x-long-okb-token;okbbull;3X Long OKB Token;./data/coins/3x-long-okb-token/
3x-long-pax-gold-token;paxgbull;3X Long PAX Gold Token;./data/coins/3x-long-pax-gold-token/
3x-long-privacy-index-token;privbull;3X Long Privacy Index Token;./data/coins/3x-long-privacy-index-token/
3x-long-shitcoin-index-token;bullshit;3X Long Shitcoin Index Token;./data/coins/3x-long-shitcoin-index-token/
3x-long-sushi-token;sushibull;3X Long Sushi Token;./data/coins/3x-long-sushi-token/
3x-long-swipe-token;sxpbull;3X Long Swipe Token;./data/coins/3x-long-swipe-token/
3x-long-tether-gold-token;xautbull;3X Long Tether Gold Token;./data/coins/3x-long-tether-gold-token/
3x-long-tether-token;usdtbull;3X Long Tether Token;./data/coins/3x-long-tether-token/
3x-long-tezos-token;xtzbull;3X Long Tezos Token;./data/coins/3x-long-tezos-token/
3x-long-theta-network-token;thetabull;3X Long Theta Network Token;./data/coins/3x-long-theta-network-token/
3x-long-tomochain-token;tomobull;3X Long TomoChain Token;./data/coins/3x-long-tomochain-token/
3x-long-trx-token;trxbull;3X Long TRX Token;./data/coins/3x-long-trx-token/
3x-long-vechain-token;vetbull;3X Long VeChain Token;./data/coins/3x-long-vechain-token/
3x-long-xrp-token;xrpbull;3X Long XRP Token;./data/coins/3x-long-xrp-token/
3x-short-algorand-token;algobear;3X Short Algorand Token;./data/coins/3x-short-algorand-token/
3x-short-altcoin-index-token;altbear;3X Short Altcoin Index Token;./data/coins/3x-short-altcoin-index-token/
3x-short-balancer-token;balbear;3X Short Balancer Token;./data/coins/3x-short-balancer-token/
3x-short-bilira-token;trybbear;3X Short BiLira Token;./data/coins/3x-short-bilira-token/
3x-short-bitcoin-cash-token;bchbear;3X Short Bitcoin Cash Token;./data/coins/3x-short-bitcoin-cash-token/
3x-short-bitcoin-sv-token;bsvbear;3X Short Bitcoin SV Token;./data/coins/3x-short-bitcoin-sv-token/
3x-short-bitcoin-token;bear;3X Short Bitcoin Token;./data/coins/3x-short-bitcoin-token/
3x-short-bitmax-token-token;btmxbear;3X Short BitMax Token Token;./data/coins/3x-short-bitmax-token-token/
3x-short-bnb-token;bnbbear;3X Short BNB Token;./data/coins/3x-short-bnb-token/
3x-short-cardano-token;adabear;3X Short Cardano Token;./data/coins/3x-short-cardano-token/
3x-short-chainlink-token;linkbear;3X Short Chainlink Token;./data/coins/3x-short-chainlink-token/
3x-short-compound-token-token;compbear;3X Short Compound Token Token;./data/coins/3x-short-compound-token-token/
3x-short-compound-usdt-token;cusdtbear;3X Short Compound USDT Token;./data/coins/3x-short-compound-usdt-token/
3x-short-cosmos-token;atombear;3X Short Cosmos Token;./data/coins/3x-short-cosmos-token/
3x-short-defi-index-token;defibear;3X Short DeFi Index Token;./data/coins/3x-short-defi-index-token/
3x-short-dmm-governance-token;dmgbear;3X Short DMM Governance Token;./data/coins/3x-short-dmm-governance-token/
3x-short-dogecoin-token;dogebear;3X Short Dogecoin Token;./data/coins/3x-short-dogecoin-token/
3x-short-dragon-index-token;drgnbear;3X Short Dragon Index Token;./data/coins/3x-short-dragon-index-token/
3x-short-eos-token;eosbear;3X Short EOS Token;./data/coins/3x-short-eos-token/
3x-short-ethereum-classic-token;etcbear;3X Short Ethereum Classic Token;./data/coins/3x-short-ethereum-classic-token/
3x-short-ethereum-token;ethbear;3X Short Ethereum Token;./data/coins/3x-short-ethereum-token/
3x-short-exchange-token-index-token;exchbear;3X Short Exchange Token Index Token;./data/coins/3x-short-exchange-token-index-token/
3x-short-huobi-token-token;htbear;3X Short Huobi Token Token;./data/coins/3x-short-huobi-token-token/
3x-short-kyber-network-token;kncbear;3X Short Kyber Network Token;./data/coins/3x-short-kyber-network-token/
3x-short-leo-token;leobear;3X Short LEO Token;./data/coins/3x-short-leo-token/
3x-short-litecoin-token;ltcbear;3X Short Litecoin Token;./data/coins/3x-short-litecoin-token/
3x-short-maker-token;mkrbear;3X Short Maker Token;./data/coins/3x-short-maker-token/
3x-short-matic-token;maticbear;3X Short Matic Token;./data/coins/3x-short-matic-token/
3x-short-midcap-index-token;midbear;3X Short Midcap Index Token;./data/coins/3x-short-midcap-index-token/
3x-short-okb-token;okbbear;3X Short OKB Token;./data/coins/3x-short-okb-token/
3x-short-pax-gold-token;paxgbear;3X Short PAX Gold Token;./data/coins/3x-short-pax-gold-token/
3x-short-privacy-index-token;privbear;3X Short Privacy Index Token;./data/coins/3x-short-privacy-index-token/
3x-short-shitcoin-index-token;bearshit;3X Short Shitcoin Index Token;./data/coins/3x-short-shitcoin-index-token/
3x-short-sushi-token;sushibear;3X Short Sushi Token;./data/coins/3x-short-sushi-token/
3x-short-swipe-token;sxpbear;3X Short Swipe Token;./data/coins/3x-short-swipe-token/
3x-short-tether-gold-token;xautbear;3X Short Tether Gold Token;./data/coins/3x-short-tether-gold-token/
3x-short-tether-token;usdtbear;3X Short Tether Token;./data/coins/3x-short-tether-token/
3x-short-tezos-token;xtzbear;3X Short Tezos Token;./data/coins/3x-short-tezos-token/
3x-short-theta-network-token;thetabear;3X Short Theta Network Token;./data/coins/3x-short-theta-network-token/
3x-short-tomochain-token;tomobear;3X Short TomoChain Token;./data/coins/3x-short-tomochain-token/
3x-short-trx-token;trxbear;3X Short TRX Token;./data/coins/3x-short-trx-token/
3x-short-vechain-token;vetbear;3X Short VeChain Token;./data/coins/3x-short-vechain-token/
3x-short-xrp-token;xrpbear;3X Short XRP Token;./data/coins/3x-short-xrp-token/
404;404;404;./data/coins/404/
42-coin;42;42-coin;./data/coins/42-coin/
451pcbcom;pcb;451PCBcom;./data/coins/451pcbcom/
4a-coin;4ac;4A Coin;./data/coins/4a-coin/
4artechnologies;4art;4ART Coin;./data/coins/4artechnologies/
4new;kwatt;4New;./data/coins/4new/
502-bad-gateway-token;z502;502 Bad Gateway Token;./data/coins/502-bad-gateway-token/
520;520;520;./data/coins/520/
6ix9ine-chain;69c;6ix9ine Chain;./data/coins/6ix9ine-chain/
7chain;vii;7Chain;./data/coins/7chain/
7eleven;7e;7ELEVEN;./data/coins/7eleven/
7finance;svn;7Finance;./data/coins/7finance/
7up;7up;7up;./data/coins/7up/
808ta-token;808ta;808TA Token;./data/coins/808ta-token/
888tron;888;888tron;./data/coins/888tron/
88mph;mph;88mph;./data/coins/88mph/
8x8-protocol;exe;8X8 Protocol;./data/coins/8x8-protocol/
999;999;999;./data/coins/999/
99masternodes;nmn;99Masternodes;./data/coins/99masternodes/
aaa-coin;aaa;AAA COIN;./data/coins/aaa-coin/
aapl;$aapl;$AAPL;./data/coins/aapl/
aave;aave;Aave;./data/coins/aave/
aave-bat;abat;Aave BAT;./data/coins/aave-bat/
aave-busd;abusd;Aave BUSD;./data/coins/aave-busd/
aave-dai;adai;Aave DAI;./data/coins/aave-dai/
aave-enj;aenj;Aave ENJ;./data/coins/aave-enj/
aave-eth;aeth;Aave ETH;./data/coins/aave-eth/
aavegotchi;ghst;Aavegotchi;./data/coins/aavegotchi/
aave-knc;aknc;Aave KNC;./data/coins/aave-knc/
aave-lend;alend;Aave LEND;./data/coins/aave-lend/
aave-link;alink;Aave LINK;./data/coins/aave-link/
aave-mana;amana;Aave MANA;./data/coins/aave-mana/
aave-mkr;amkr;Aave MKR;./data/coins/aave-mkr/
aave-ren;aren;Aave REN;./data/coins/aave-ren/
aave-rep;arep;Aave REP;./data/coins/aave-rep/
aave-snx;asnx;Aave SNX;./data/coins/aave-snx/
aave-susd;asusd;Aave SUSD;./data/coins/aave-susd/
aave-tusd;atusd;Aave TUSD;./data/coins/aave-tusd/
aave-usdc;ausdc;Aave USDC;./data/coins/aave-usdc/
aave-usdt;ausdt;Aave USDT;./data/coins/aave-usdt/
aave-wbtc;awbtc;Aave WBTC;./data/coins/aave-wbtc/
aave-zrx;azrx;Aave ZRX;./data/coins/aave-zrx/
aax-token;aab;AAX Token;./data/coins/aax-token/
abc-chain;abc;ABC Chain;./data/coins/abc-chain/
abcc-token;at;ABCC Token;./data/coins/abcc-token/
abitshadow-token;abst;Abitshadow Token;./data/coins/abitshadow-token/
able;ablx;ABLE X Token;./data/coins/able/
abo;abo;ABO;./data/coins/abo/
abosom;xab;Abosom;./data/coins/abosom/
absolute;abs;Absolute;./data/coins/absolute/
abulaba;aaa;Abulaba;./data/coins/abulaba/
ac3;ac3;AC3;./data/coins/ac3/
acash;ach;Acash;./data/coins/acash/
acash-coin;aca;Acash Coin;./data/coins/acash-coin/
accelerator-network;acc;Accelerator Network;./data/coins/accelerator-network/
ace-casino;ace;Ace Entertainment;./data/coins/ace-casino/
aced;aced;Aced;./data/coins/aced/
ace-wins;acw;AceWins;./data/coins/ace-wins/
achain;act;Achain;./data/coins/achain/
acoconut;ac;ACoconut;./data/coins/acoconut/
acoin;acoin;Acoin;./data/coins/acoin/
acreage-coin;acr;Acreage Coin;./data/coins/acreage-coin/
acryl;acryl;Acryl;./data/coins/acryl/
actinium;acm;Actinium;./data/coins/actinium/
action-coin;actn;Action Coin;./data/coins/action-coin/
acuity-token;acu;Acuity Token;./data/coins/acuity-token/
acute-angle-cloud;aac;Acute Angle Cloud;./data/coins/acute-angle-cloud/
adab-solutions;adab;ADAB Solutions;./data/coins/adab-solutions/
adamant-messenger;adm;ADAMANT Messenger;./data/coins/adamant-messenger/
adbank;adb;adbank;./data/coins/adbank/
address;addr;Address;./data/coins/address/
adelphoi;adl;Adelphoi;./data/coins/adelphoi/
adex;adx;AdEx;./data/coins/adex/
ad-flex-token;adf;Ad Flex Token;./data/coins/ad-flex-token/
adioman;admn;ADIOMAN;./data/coins/adioman/
aditus;adi;Aditus;./data/coins/aditus/
adshares;ads;Adshares;./data/coins/adshares/
adtoken;adt;adToken;./data/coins/adtoken/
advanced-internet-block;aib;Advanced Integrated Blocks;./data/coins/advanced-internet-block/
advertisingcoin;advc;Advertisingcoin;./data/coins/advertisingcoin/
adzcoin;adz;Adzcoin;./data/coins/adzcoin/
aedart-network;aedart;Aedart Network;./data/coins/aedart-network/
aegis;ags;Aegis;./data/coins/aegis/
aelf;elf;elf;./data/coins/aelf/
aelysir;ael;Aelysir;./data/coins/aelysir/
aeon;aeon;Aeon;./data/coins/aeon/
aergo;aergo;Aergo;./data/coins/aergo/
aeron;arnx;Aeron;./data/coins/aeron/
aerotoken;aet;AEROTOKEN;./data/coins/aerotoken/
aeryus;aer;Aeryus;./data/coins/aeryus/
aeternity;ae;Aeternity;./data/coins/aeternity/
aeur;aeur;AEUR;./data/coins/aeur/
aevo;aevo;Always Evolving;./data/coins/aevo/
aezora;azr;Aezora;./data/coins/aezora/
afin-coin;afin;Asian Fintech;./data/coins/afin-coin/
africa-trading-chain;att;Africa Trading Chain;./data/coins/africa-trading-chain/
africunia-bank;afcash;AFRICUNIA BANK;./data/coins/africunia-bank/
afri-union-coin;auc;Afri Union Coin;./data/coins/afri-union-coin/
afro;afro;Afro;./data/coins/afro/
afrodex;afrox;AfroDex;./data/coins/afrodex/
afrodex-labs-token;afdlt;AfroDex Labs Token;./data/coins/afrodex-labs-token/
aftershock;shock;AfterShock;./data/coins/aftershock/
aga-token;aga;AGA Token;./data/coins/aga-token/
agavecoin;agvc;AgaveCoin;./data/coins/agavecoin/
agetron;aget;Agetron;./data/coins/agetron/
agoras;agrs;IDNI Agoras;./data/coins/agoras/
agouti;agu;Agouti;./data/coins/agouti/
agrello;dlt;Agrello;./data/coins/agrello/
agricoin;AGN;Agricoin;./data/coins/agricoin/
agricultural-trade-chain;aat;Agricultural Trade Chain;./data/coins/agricultural-trade-chain/
agrinovuscoin;agri;AgriNovusCoin;./data/coins/agrinovuscoin/
agrolot;aglt;AGROLOT;./data/coins/agrolot/
agr-tokens;agr;AGR Tokens;./data/coins/agr-tokens/
aguard;agrd;Aguard;./data/coins/aguard/
ahatoken;aht;AhaToken;./data/coins/ahatoken/
aiascoin;aias;AIAScoin;./data/coins/aiascoin/
aichain;ait;AICHAIN;./data/coins/aichain/
aicon;aico;Aicon;./data/coins/aicon/
ai-crypto;aic;AI Crypto;./data/coins/ai-crypto/
aidcoin;aid;AidCoin;./data/coins/aidcoin/
ai-doctor;aidoc;AI Doctor;./data/coins/ai-doctor/
aidos-kuneen;adk;Aidos Kuneen;./data/coins/aidos-kuneen/
aidus;aidus;AIDUS Token;./data/coins/aidus/
ailink-token;ali;AiLink Token;./data/coins/ailink-token/
ai-network;ain;AI Network;./data/coins/ai-network/
aion;aion;Aion;./data/coins/aion/
ai-predicting-ecosystem;aipe;AI Prediction Ecosystem;./data/coins/ai-predicting-ecosystem/
airbloc-protocol;abl;Airbloc;./data/coins/airbloc-protocol/
aircoins;airx;Aircoins;./data/coins/aircoins/
airpod;apod;AirPod;./data/coins/airpod/
airswap;ast;AirSwap;./data/coins/airswap/
aisf;agt;AISF;./data/coins/aisf/
aitheon;acu;Aitheon;./data/coins/aitheon/
aitra;aitra;AITRA;./data/coins/aitra/
aivia;aiv;AIVIA;./data/coins/aivia/
ak12;ak12;AK12;./data/coins/ak12/
akash-network;akt;Akash Network;./data/coins/akash-network/
akikcoin;akc;Akikcoin;./data/coins/akikcoin/
akoin;akn;Akoin;./data/coins/akoin/
akroma;aka;Akroma;./data/coins/akroma/
akropolis;akro;Akropolis;./data/coins/akropolis/
akropolis-delphi;adel;Akropolis Delphi;./data/coins/akropolis-delphi/
aladdin-coins;acoin;Aladdin Coins;./data/coins/aladdin-coins/
aladdin-galaxy;abao;Aladdin Galaxy;./data/coins/aladdin-galaxy/
aladiex;ala;Aladiex;./data/coins/aladiex/
alax;alx;ALAX;./data/coins/alax/
albos;alb;Albos;./data/coins/albos/
alchemint;sds;Alchemint;./data/coins/alchemint/
alchemy;acoin;Alchemy;./data/coins/alchemy/
alchemy-pay;ach;Alchemy Pay;./data/coins/alchemy-pay/
aleph;aleph;Aleph.im;./data/coins/aleph/
alex;alex;Alex;./data/coins/alex/
algorand;algo;Algorand;./data/coins/algorand/
algory;alg;Algory;./data/coins/algory/
alibabacoin;abbc;ABBC;./data/coins/alibabacoin/
aliencoin;alc;Aliencoin;./data/coins/aliencoin/
alis;alis;ALIS;./data/coins/alis/
all-best-ico;allbi;ALL BEST ICO;./data/coins/all-best-ico/
alldex-alliance;axa;Alldex Alliance;./data/coins/alldex-alliance/
all-for-one-business;afo;All For One Business;./data/coins/all-for-one-business/
allianceblock;albt;AllianceBlock;./data/coins/allianceblock/
alliance-cargo-direct;acd;Alliance Cargo Direct;./data/coins/alliance-cargo-direct/
alliance-x-trading;axt;Alliance X Trading;./data/coins/alliance-x-trading/
alligator-fractal-set;gator;Alligator + Fractal Set;./data/coins/alligator-fractal-set/
allive;alv;Allive;./data/coins/allive/
all-me;me;All.me;./data/coins/all-me/
allmedia-coin;amdc;Allmedi Coin;./data/coins/allmedia-coin/
alloy-project;xao;Alloy Project;./data/coins/alloy-project/
allsafe;asafe;AllSafe;./data/coins/allsafe/
all-sports;soc;All Sports;./data/coins/all-sports/
ally;aly;Ally;./data/coins/ally/
almace-shards;almx;Almace Shards;./data/coins/almace-shards/
alpaca;alpa;Alpaca;./data/coins/alpaca/
alp-coin;alp;ALP Coin;./data/coins/alp-coin/
alphacat;acat;Alphacat;./data/coins/alphacat/
alpha-coin;apc;Alpha Coin;./data/coins/alpha-coin/
alphadex;dex;AlphaDex;./data/coins/alphadex/
